codigo_estudiante,tipo_examen,carrera_asignada,puntaje_matematica,puntaje_ciencias,puntaje_humanidades,puntaje_aptitud,puntaje_ciencias_carrera,puntaje_humanidades_carrera,puntaje_ingenieria_carrera,carrera_recomendada,puntaje_total
028114,L,B,10.0,0.0,45.0,5.0,30.0,60.0,50.0,Humanidades,60.0
028113,F,B,7.5,0.0,7.5,45.0,55.0,60.0,70.0,Ingeniería,70.0
028116,H,B,10.5,12.5,30.0,20.0,78.0,73.0,74.0,Ciencias,78.0
028112,G,B,0.0,2.5,52.5,30.0,55.0,85.0,50.0,Humanidades,85.0
028111,G,B,0.0,0.5,10.5,10.0,15.0,21.0,14.0,Humanidades,21.0
028109,F,B,0.0,0.0,0.0,35.0,35.0,35.0,35.0,Ciencias,35.0
028110,H,B,1.0,6.5,36.0,24.0,56.5,67.5,45.5,Humanidades,67.5
028108,L,B,2.5,2.5,30.0,35.0,55.0,70.0,55.0,Humanidades,70.0
028106,K,B,4.0,2.5,10.5,21.0,36.0,38.0,39.0,Ingeniería,39.0
028107,I,B,10.5,12.5,45.0,50.0,113.0,118.0,109.0,Humanidades,118.0
028105,J,B,4.0,4.0,13.5,15.0,35.5,36.5,35.5,Humanidades,36.5
028100,F,B,19.0,12.5,18.0,63.0,125.5,112.5,138.5,Ingeniería,138.5
028099,G,B,3.0,0.0,15.0,0.0,8.0,18.0,14.0,Humanidades,18.0
028101,H,B,5.5,11.5,27.0,17.0,66.0,61.0,54.0,Ciencias,66.0
028102,I,B,1.5,13.5,25.5,22.0,72.5,62.5,48.5,Ciencias,72.5
028103,J,B,5.0,5.0,0.0,0.0,20.0,10.0,20.0,Ciencias,20.0
028104,K,B,2.5,5.0,22.5,15.0,40.0,45.0,35.0,Humanidades,45.0
028094,I,B,10.0,22.5,52.5,51.0,146.0,136.0,121.0,Ciencias,146.0
028095,H,B,11.5,25.0,33.0,52.0,149.5,121.5,122.5,Ciencias,149.5
028096,G,B,12.5,0.0,22.5,11.0,31.0,46.0,56.0,Ingeniería,56.0
028097,F,B,15.0,15.5,39.0,86.0,160.5,155.5,159.5,Ciencias,160.5
028098,L,B,12.5,0.0,37.5,0.0,25.0,50.0,50.0,Humanidades,50.0
028089,J,B,5.0,10.0,30.0,15.0,60.0,60.0,50.0,Ciencias,60.0
028090,K,B,5.0,10.0,30.0,41.0,86.0,86.0,76.0,Ciencias,86.0
028091,K,B,2.5,15.0,37.5,36.0,96.0,91.0,71.0,Ciencias,96.0
028093,J,B,11.5,0.5,6.0,2.0,17.0,20.0,39.0,Ingeniería,39.0
028092,L,B,6.0,9.0,33.0,17.0,61.0,65.0,55.0,Humanidades,65.0
028085,F,B,7.5,2.5,7.5,0.0,17.5,17.5,27.5,Ingeniería,27.5
028088,I,B,12.5,7.5,7.5,41.0,78.5,68.5,88.5,Ingeniería,88.5
028087,H,B,11.5,8.5,3.0,2.0,40.0,25.0,46.0,Ingeniería,46.0
028086,G,B,0.0,0.0,15.0,0.0,5.0,15.0,5.0,Humanidades,15.0
028082,L,B,4.0,6.5,4.5,22.0,47.0,37.0,42.0,Ciencias,47.0
028084,K,B,17.5,5.0,67.5,31.0,86.0,121.0,111.0,Humanidades,121.0
028083,J,B,19.5,10.0,15.0,14.0,68.5,58.5,87.5,Ingeniería,87.5
028080,J,B,5.5,3.5,0.0,0.0,16.0,9.0,20.0,Ingeniería,20.0
028045,I,B,2.5,17.5,15.0,40.0,100.0,75.0,70.0,Ciencias,100.0
028079,H,B,0.0,11.0,16.5,0.0,38.5,27.5,16.5,Ciencias,38.5
028078,J,B,2.5,2.5,15.0,10.0,25.0,30.0,25.0,Humanidades,30.0
028077,G,B,5.0,2.5,30.0,0.0,22.5,37.5,27.5,Humanidades,37.5
028076,I,B,5.5,12.5,1.5,35.0,78.5,54.5,64.5,Ciencias,78.5
028075,L,B,2.5,0.0,0.0,11.0,13.5,13.5,18.5,Ingeniería,18.5
028074,H,B,0.0,5.0,16.5,21.0,41.5,42.5,31.5,Humanidades,42.5
028073,F,B,13.0,0.0,22.5,42.0,62.5,77.5,88.5,Ingeniería,88.5
028072,G,B,2.5,2.5,46.5,32.0,57.5,83.5,57.5,Humanidades,83.5
028071,K,B,0.0,5.5,1.5,2.0,19.0,9.0,8.0,Ciencias,19.0
028070,F,B,10.0,5.5,12.0,28.0,58.5,55.5,67.5,Ingeniería,67.5
028069,K,B,12.5,5.0,36.0,44.0,83.5,97.5,98.5,Ingeniería,98.5
028068,F,B,7.5,2.5,15.0,5.0,25.0,30.0,35.0,Ingeniería,35.0
028067,L,B,2.5,0.0,37.5,51.0,66.0,91.0,71.0,Humanidades,91.0
028066,K,B,8.0,8.0,33.0,3.0,46.0,52.0,46.0,Humanidades,52.0
028064,L,B,0.5,0.0,22.5,25.0,33.0,48.0,34.0,Humanidades,48.0
028065,J,B,27.5,12.5,46.5,60.0,140.5,146.5,170.5,Ingeniería,170.5
028062,J,B,7.5,2.0,15.0,36.0,54.5,60.5,65.5,Ingeniería,65.5
028063,I,B,6.0,10.0,31.5,17.0,63.5,64.5,55.5,Humanidades,64.5
028060,I,B,13.0,14.5,31.5,0.0,67.0,59.0,64.0,Ciencias,67.0
